CPU,%user
1,100.00
2,99.01
3,100.00
4,100.00
5,100.00
6,98.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.50
0,99.01
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,98.00
7,98.02
8,100.00
9,100.00
10,100.00
11,99.00
all,99.16
0,100.00
1,99.00
2,97.03
3,100.00
4,100.00
5,99.01
6,99.00
7,99.00
8,100.00
9,100.00
10,100.00
11,96.94
all,99.58
0,100.00
1,100.00
2,98.99
3,100.00
4,100.00
5,99.01
6,99.01
7,100.00
8,99.01
9,99.01
10,100.00
11,100.00
all,99.42
0,99.00
1,98.99
2,98.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,99.00
10,100.00
11,98.04
all,99.50
0,99.00
1,100.00
2,98.02
3,100.00
4,100.00
5,99.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.00
all,99.33
0,100.00
1,98.02
2,96.97
3,99.01
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,97.98
all,99.58
0,100.00
1,99.01
2,99.00
3,99.00
4,100.00
5,100.00
6,99.01
7,100.00
8,99.00
9,100.00
10,100.00
11,100.00
all,99.50
0,99.00
1,100.00
2,98.00
3,99.01
4,100.00
5,100.00
6,100.00
7,100.00
8,99.00
9,100.00
10,99.00
11,100.00
all,99.42
0,100.00
1,99.01
2,98.00
3,100.00
4,100.00
5,100.00
6,98.02
7,100.00
8,100.00
9,100.00
10,99.00
11,99.00
all,99.25
0,98.02
1,100.00
2,99.00
3,98.02
4,98.02
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.02
all,99.58
0,100.00
1,100.00
2,100.00
3,99.00
4,100.00
5,100.00
6,99.01
7,99.01
8,100.00
9,100.00
10,100.00
11,97.98
all,99.67
0,100.00
1,100.00
2,100.00
3,100.00
4,99.01
5,100.00
6,100.00
7,98.99
8,100.00
9,100.00
10,99.01
11,99.00
all,99.75
0,100.00
1,100.00
2,100.00
3,100.00
4,99.00
5,100.00
6,99.01
7,99.01
8,100.00
9,100.00
10,100.00
11,100.00
all,99.25
0,100.00
1,100.00
2,99.01
3,99.01
4,100.00
5,97.06
6,100.00
7,98.99
8,100.00
9,100.00
10,100.00
11,97.06
all,99.42
0,100.00
1,100.00
2,99.01
3,100.00
4,99.00
5,100.00
6,98.04
7,99.01
8,100.00
9,100.00
10,99.00
11,99.00
all,99.58
0,100.00
1,98.02
2,100.00
3,100.00
4,100.00
5,99.00
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,98.99
all,99.25
0,99.01
1,99.00
2,99.00
3,100.00
4,100.00
5,100.00
6,99.00
7,100.00
8,99.01
9,99.01
10,97.03
11,100.00
all,99.08
0,100.00
1,99.01
2,99.00
3,100.00
4,100.00
5,98.00
6,97.03
7,100.00
8,100.00
9,98.00
10,100.00
11,98.02
all,99.50
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.03
6,99.00
7,99.01
8,100.00
9,99.00
10,100.00
11,100.00
all,99.67
0,99.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.98
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.75
0,100.00
1,100.00
2,99.00
3,100.00
4,100.00
5,99.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.00
all,99.08
0,98.99
1,100.00
2,97.06
3,100.00
4,99.00
5,99.00
6,99.00
7,100.00
8,100.00
9,100.00
10,96.08
11,100.00
all,99.67
0,99.01
1,100.00
2,100.00
3,100.00
4,99.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,99.01
all,99.75
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,98.00
11,99.00
all,99.33
0,98.02
1,100.00
2,100.00
3,100.00
4,100.00
5,99.00
6,99.00
7,100.00
8,100.00
9,100.00
10,99.00
11,97.00
all,99.58
0,99.00
1,100.00
2,100.00
3,100.00
4,99.01
5,100.00
6,100.00
7,100.00
8,99.01
9,100.00
10,99.00
11,98.99
all,99.50
0,99.01
1,100.00
2,100.00
3,100.00
4,98.02
5,100.00
6,99.00
7,100.00
8,100.00
9,100.00
10,99.00
11,99.00
all,99.75
0,100.00
1,100.00
2,98.99
3,100.00
4,98.99
5,100.00
6,99.01
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.17
0,99.00
1,100.00
2,99.00
3,98.00
4,98.02
5,99.00
6,99.00
7,100.00
8,100.00
9,98.00
10,100.00
11,100.00
all,99.33
0,100.00
1,100.00
2,99.01
3,97.03
4,100.00
5,99.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,97.03
all,99.25
0,100.00
1,99.00
2,100.00
3,100.00
4,98.00
5,97.06
6,99.01
7,100.00
8,100.00
9,100.00
10,99.01
11,99.01
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,99.00
5,99.00
6,100.00
7,99.01
8,100.00
9,100.00
10,100.00
11,98.00
all,99.50
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.98
6,99.00
7,100.00
8,100.00
9,98.00
10,100.00
11,99.00
all,99.58
0,100.00
1,99.01
2,100.00
3,100.00
4,100.00
5,97.98
6,100.00
7,100.00
8,100.00
9,99.00
10,100.00
11,98.99
all,99.33
0,100.00
1,100.00
2,100.00
3,99.01
4,99.01
5,97.03
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,98.02
all,99.25
0,98.04
1,100.00
2,99.01
3,100.00
4,100.00
5,97.00
6,99.00
7,100.00
8,100.00
9,99.01
10,100.00
11,98.99
all,99.33
0,99.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.00
6,98.04
7,100.00
8,100.00
9,99.01
10,100.00
11,97.00
all,99.50
0,99.01
1,100.00
2,99.00
3,100.00
4,99.01
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,97.06
all,99.25
0,97.98
1,100.00
2,98.99
3,100.00
4,100.00
5,99.01
6,98.00
7,99.01
8,99.00
9,100.00
10,99.00
11,100.00
all,99.67
0,98.00
1,100.00
2,98.02
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.33
0,98.02
1,100.00
2,100.00
3,100.00
4,99.00
5,100.00
6,100.00
7,99.00
8,100.00
9,100.00
10,99.01
11,97.00
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.01
6,100.00
7,99.00
8,100.00
9,100.00
10,100.00
11,97.00
all,99.42
0,98.99
1,100.00
2,100.00
3,98.02
4,100.00
5,99.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.75
0,100.00
1,100.00
2,100.00
3,98.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,99.00
10,100.00
11,100.00
all,99.42
0,99.01
1,100.00
2,99.01
3,98.99
4,100.00
5,99.00
6,99.01
7,100.00
8,99.01
9,100.00
10,100.00
11,99.00
all,99.50
0,100.00
1,99.00
2,100.00
3,99.00
4,100.00
5,99.00
6,100.00
7,100.00
8,99.00
9,100.00
10,100.00
11,98.00
all,99.33
0,100.00
1,100.00
2,100.00
3,97.03
4,99.01
5,99.00
6,100.00
7,100.00
8,99.00
9,99.00
10,100.00
11,99.00
all,99.83
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.00
6,99.01
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.33
0,99.01
1,100.00
2,99.00
3,100.00
4,100.00
5,97.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.67
0,100.00
1,100.00
2,100.00
3,99.01
4,99.01
5,98.99
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.01
all,99.67
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,97.00
10,100.00
11,98.99
all,99.42
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.00
6,100.00
7,100.00
8,100.00
9,99.01
10,100.00
11,97.03
all,99.25
0,99.00
1,100.00
2,99.01
3,99.00
4,100.00
5,97.03
6,99.01
7,100.00
8,100.00
9,100.00
10,100.00
11,98.00
all,99.75
0,99.00
1,100.00
2,100.00
3,100.00
4,98.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,100.00
all,99.42
0,97.98
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,100.00
7,100.00
8,100.00
9,97.03
10,100.00
11,100.00
all,99.58
0,99.00
1,100.00
2,100.00
3,98.04
4,100.00
5,100.00
6,99.01
7,100.00
8,100.00
9,99.00
10,100.00
11,100.00
all,99.33
0,98.02
1,100.00
2,100.00
3,98.00
4,100.00
5,99.00
6,99.00
7,100.00
8,100.00
9,100.00
10,100.00
11,98.04
all,99.42
0,99.00
1,99.00
2,100.00
3,100.00
4,100.00
5,99.00
6,98.02
7,99.01
8,100.00
9,100.00
10,99.01
11,100.00
all,99.58
0,100.00
1,100.00
2,99.01
3,98.00
4,100.00
5,100.00
6,100.00
7,99.00
8,100.00
9,100.00
10,100.00
11,99.00
all,99.67
0,100.00
1,100.00
2,100.00
3,97.03
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,99.01
10,100.00
11,100.00
all,99.50
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,100.00
7,100.00
8,98.02
9,98.99
10,100.00
11,99.00
all,99.58
0,100.00
1,100.00
2,100.00
3,99.00
4,100.00
5,99.01
6,100.00
7,100.00
8,100.00
9,98.00
10,100.00
11,99.01
all,99.50
0,99.00
1,99.01
2,100.00
3,97.98
4,100.00
5,99.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.00
all,99.42
0,100.00
1,100.00
2,100.00
3,98.02
4,100.00
5,100.00
6,100.00
7,100.00
8,99.01
9,97.06
10,100.00
11,99.00
all,99.83
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,100.00
6,100.00
7,100.00
8,100.00
9,99.00
10,100.00
11,99.00
all,99.33
0,98.02
1,100.00
2,100.00
3,99.01
4,100.00
5,99.00
6,99.00
7,100.00
8,99.00
9,99.00
10,100.00
11,98.99
all,99.08
0,98.02
1,100.00
2,100.00
3,98.99
4,100.00
5,98.00
6,99.00
7,100.00
8,100.00
9,99.00
10,100.00
11,96.08
all,99.67
0,100.00
1,100.00
2,100.00
3,99.00
4,100.00
5,98.99
6,99.01
7,100.00
8,100.00
9,99.00
10,100.00
11,100.00
all,99.50
0,100.00
1,100.00
2,100.00
3,97.06
4,100.00
5,99.01
6,99.00
7,100.00
8,100.00
9,99.00
10,100.00
11,100.00
all,99.50
0,99.01
1,100.00
2,100.00
3,100.00
4,100.00
5,96.00
6,100.00
7,100.00
8,100.00
9,100.00
10,100.00
11,99.00
all,99.42
0,99.01
1,100.00
2,100.00
3,96.97
4,99.01
5,98.99
6,100.00
7,100.00
8,100.00
9,100.00
10,99.00
11,100.00
all,99.42
0,100.00
1,100.00
2,98.02
3,97.03
4,99.00
5,100.00
6,100.00
7,100.00
8,100.00
9,100.00
10,99.01
11,100.00
all,99.67
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,99.01
6,100.00
7,99.01
8,100.00
9,100.00
10,100.00
11,98.00
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,99.00
5,100.00
6,99.00
7,100.00
8,100.00
9,100.00
10,99.01
11,98.00
all,99.58
0,100.00
1,100.00
2,100.00
3,99.00
4,100.00
5,97.00
6,100.00
7,100.00
8,100.00
9,100.00
10,99.01
11,100.00
all,99.58
0,100.00
1,99.00
2,100.00
3,100.00
4,100.00
5,98.99
6,99.00
7,100.00
8,100.00
9,99.01
10,100.00
11,99.00
all,99.25
0,99.01
1,100.00
2,98.00
3,100.00
4,100.00
5,98.02
6,100.00
7,100.00
8,99.01
9,100.00
10,100.00
11,97.00
all,99.67
0,100.00
1,100.00
2,99.00
3,100.00
4,100.00
5,99.00
6,98.99
7,100.00
8,100.00
9,99.01
10,100.00
11,100.00
all,99.67
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,98.00
6,99.01
7,99.01
8,100.00
9,100.00
10,100.00
11,100.00
all,99.58
0,100.00
1,100.00
2,100.00
3,100.00
4,100.00
5,97.00
6,99.01
7,100.00
8,100.00
9,100.00
10,100.00
